dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.944947,0.068365,1.034027,1.346286,0.068961,-2.579044,0.657353
0.020000,0.966201,0.084908,1.060960,1.346660,0.018702,-2.512990,0.665340
0.020000,0.987318,0.101606,1.087881,1.346067,-0.029648,-2.417473,0.672675
0.020000,1.008294,0.118432,1.114772,1.344530,-0.076814,-2.358287,0.679349
0.020000,1.029125,0.135360,1.141613,1.342074,-0.122804,-2.299530,0.685353
0.020000,1.049807,0.152363,1.168388,1.338720,-0.167727,-2.246128,0.690679
0.020000,1.070339,0.169415,1.195078,1.334485,-0.211718,-2.199556,0.695323
0.020000,1.090720,0.186489,1.221665,1.329387,-0.254902,-2.159213,0.699278
0.020000,1.110948,0.203560,1.248134,1.323440,-0.297390,-2.124404,0.702541
0.020000,1.131023,0.220603,1.274467,1.316654,-0.339278,-2.094369,0.705108
0.020000,1.150944,0.237590,1.300648,1.309041,-0.380644,-2.068303,0.706977
0.020000,1.170711,0.254499,1.326660,1.300610,-0.421551,-2.045370,0.708147
0.020000,1.190323,0.271304,1.352488,1.291369,-0.462047,-2.024819,0.708616
0.020000,1.209777,0.287976,1.378108,1.281028,-0.517063,-2.750786,0.708384
0.020000,1.229067,0.304488,1.403500,1.269603,-0.571241,-2.708871,0.707450
0.020000,1.248192,0.320818,1.428648,1.257406,-0.609864,-1.931188,0.705816
0.020000,1.267153,0.336941,1.453537,1.244444,-0.648083,-1.910910,0.703485
0.020000,1.285947,0.352836,1.478152,1.230727,-0.685854,-1.888550,0.700458
0.020000,1.304573,0.368482,1.502477,1.216265,-0.723120,-1.863315,0.696738
0.020000,1.323029,0.383858,1.526498,1.201068,-0.759809,-1.834442,0.692329
0.020000,1.341312,0.398943,1.550201,1.185152,-0.795833,-1.801201,0.687236
0.020000,1.359419,0.413718,1.573572,1.168530,-0.831091,-1.762906,0.681465
0.020000,1.377347,0.428165,1.596596,1.151221,-0.865469,-1.718926,0.675023
0.020000,1.395090,0.442267,1.619261,1.133244,-0.898843,-1.668693,0.667917
0.020000,1.412645,0.456007,1.641554,1.114622,-0.931078,-1.611723,0.660158
0.020000,1.430005,0.469370,1.663461,1.095382,-0.962027,-1.547477,0.651757
0.020000,1.447165,0.482342,1.684973,1.075556,-0.991267,-1.461965,0.642728
0.020000,1.464117,0.494911,1.706076,1.055168,-1.019428,-1.408059,0.633087
0.020000,1.480855,0.507064,1.726761,1.034260,-1.045377,-1.297463,0.622851
0.020000,1.497372,0.518794,1.747018,1.012865,-1.069777,-1.219997,0.612042
0.020000,1.513658,0.530090,1.766839,0.991029,-1.091764,-1.099337,0.600681
0.020000,1.529706,0.540947,1.786215,0.968788,-1.112071,-1.015351,0.588796
0.020000,1.545507,0.551360,1.805139,0.946189,-1.129929,-0.892932,0.576416
0.020000,1.561053,0.561326,1.823604,0.923278,-1.145557,-0.781366,0.563573
0.020000,1.576334,0.570842,1.841606,0.900100,-1.158928,-0.668580,0.550301
0.020000,1.591341,0.579910,1.859140,0.876701,-1.169961,-0.551616,0.536639
0.020000,1.606065,0.588531,1.876203,0.853124,-1.178849,-0.444444,0.522629
0.020000,1.620498,0.596709,1.892791,0.829411,-1.185634,-0.339250,0.508314
0.020000,1.634633,0.604451,1.908908,0.805838,-1.178660,0.348733,0.493737
0.020000,1.648472,0.611769,1.924562,0.782738,-1.154986,1.183665,0.478936
0.020000,1.662017,0.618675,1.939766,0.760195,-1.127135,1.392589,0.463948
0.020000,1.675270,0.625182,1.954531,0.738215,-1.098991,1.407169,0.448811
0.020000,1.688233,0.631304,1.968867,0.716800,-1.070766,1.411248,0.433563
0.020000,1.700908,0.637055,1.982785,0.695949,-1.042543,1.411142,0.418242
0.020000,1.713298,0.642449,1.996299,0.675657,-1.014629,1.395730,0.402886
0.020000,1.725405,0.647500,2.009417,0.655914,-0.987150,1.373935,0.387532
0.020000,1.737231,0.652223,2.022151,0.636709,-0.960222,1.346395,0.372215
0.020000,1.748779,0.656630,2.034512,0.618030,-0.933941,1.314053,0.356971
0.020000,1.760051,0.660738,2.046509,0.599849,-0.909082,1.242955,0.341834
0.020000,1.771050,0.664558,2.058152,0.582155,-0.884667,1.220763,0.326836
0.020000,1.781777,0.668107,2.069450,0.564919,-0.861810,1.142854,0.312009
0.020000,1.792234,0.671396,2.080412,0.548116,-0.840146,1.083189,0.297380
0.020000,1.802424,0.674438,2.091047,0.531715,-0.820063,1.004161,0.282977
0.020000,1.812347,0.677248,2.101361,0.515692,-0.801142,0.946022,0.268826
0.020000,1.822006,0.679837,2.111361,0.500011,-0.784067,0.853764,0.254950
0.020000,1.831402,0.682218,2.121054,0.484649,-0.768066,0.800068,0.241370
0.020000,1.840536,0.684403,2.130445,0.469574,-0.753777,0.714415,0.228105
0.020000,1.849409,0.686402,2.139540,0.454748,-0.741279,0.624933,0.215172
0.020000,1.858021,0.688228,2.148343,0.440155,-0.729686,0.579632,0.202587
0.020000,1.866372,0.689890,2.156858,0.425755,-0.719995,0.484574,0.190363
0.020000,1.874463,0.691399,2.165089,0.411532,-0.711143,0.442570,0.178511
0.020000,1.882294,0.692766,2.173038,0.397454,-0.703880,0.363159,0.167042
0.020000,1.889864,0.693999,2.180708,0.383504,-0.697493,0.319373,0.155963
0.020000,1.897173,0.695109,2.188101,0.369638,-0.693328,0.208211,0.145282
0.020000,1.904221,0.696103,2.195219,0.355875,-0.688121,0.260370,0.135004
0.020000,1.911006,0.696990,2.202062,0.342165,-0.685522,0.129942,0.125132
0.020000,1.917529,0.697780,2.208632,0.328495,-0.683475,0.102331,0.115671
0.020000,1.923787,0.698478,2.214929,0.314859,-0.681837,0.081946,0.106622
0.020000,1.929780,0.699093,2.220954,0.301249,-0.680465,0.068558,0.097987
0.020000,1.935508,0.699633,2.226707,0.287643,-0.680335,0.006528,0.089766
0.020000,1.940968,0.700103,2.232188,0.274039,-0.680182,0.007624,0.081958
0.020000,1.946161,0.700510,2.237396,0.260411,-0.681391,-0.060436,0.074564
0.020000,1.951084,0.700860,2.242331,0.246771,-0.681999,-0.030389,0.067581
0.020000,1.955736,0.701160,2.246993,0.233103,-0.683416,-0.070842,0.061009
0.020000,1.960117,0.701414,2.251382,0.219422,-0.684032,-0.030795,0.054846
0.020000,1.964226,0.701627,2.255496,0.205696,-0.686328,-0.114829,0.049088
0.020000,1.968060,0.701806,2.259335,0.191949,-0.687336,-0.050403,0.043735
0.020000,1.971621,0.701953,2.262898,0.178158,-0.689566,-0.111485,0.038784
0.020000,1.974909,0.702073,2.266189,0.164542,-0.680797,0.438444,0.034226
0.020000,1.977935,0.702170,2.269216,0.151390,-0.657580,1.160848,0.030046
0.020000,1.980710,0.702248,2.271992,0.138780,-0.630526,1.352680,0.026226
0.020000,1.983243,0.702310,2.274525,0.126673,-0.605322,1.260216,0.022749
0.020000,1.985545,0.702359,2.276828,0.115132,-0.577043,1.413948,0.019597
0.020000,1.987627,0.702397,2.278910,0.104115,-0.550867,1.308788,0.016754
0.020000,1.989499,0.702426,2.280783,0.093632,-0.524157,1.335512,0.014202
0.020000,1.991173,0.702447,2.282457,0.083706,-0.496285,1.393594,0.011926
0.020000,1.992659,0.702464,2.283944,0.074316,-0.469500,1.339269,0.009909
0.020000,1.993969,0.702475,2.285253,0.065480,-0.441832,1.383406,0.008135
0.020000,1.995113,0.702484,2.286397,0.057207,-0.413630,1.410067,0.006587
0.020000,1.996103,0.702490,2.287387,0.049479,-0.386379,1.362549,0.005250
0.020000,1.996949,0.702494,2.288233,0.042303,-0.358793,1.379313,0.004108
0.020000,1.997663,0.702496,2.288947,0.035693,-0.330523,1.413498,0.003146
0.020000,1.998256,0.702498,2.289540,0.029650,-0.302135,1.419417,0.002347
0.020000,1.998738,0.702499,2.290023,0.024138,-0.275631,1.325181,0.001697
0.020000,1.999123,0.702499,2.290407,0.019215,-0.246156,1.473777,0.001180
0.020000,1.999420,0.702500,2.290704,0.014850,-0.218205,1.397528,0.000780
0.020000,1.999641,0.702500,2.290925,0.011047,-0.190157,1.402414,0.000483
0.020000,1.999797,0.702500,2.291081,0.007807,-0.162034,1.406144,0.000273
0.020000,1.999899,0.702500,2.291183,0.005130,-0.133857,1.408868,0.000135
0.020000,1.999960,0.702500,2.291244,0.003017,-0.105642,1.410739,0.000054
0.020000,1.999989,0.702500,2.291273,0.001469,-0.077404,1.411918,0.000015
0.020000,1.999999,0.702500,2.291283,0.000486,-0.049152,1.412565,0.000002
0.020000,2.000000,0.702500,2.291284,0.000068,-0.020895,1.412845,0.000000
0.020000,2.000000,0.702500,2.291284,0.000000,-0.003383,0.875612,0.000000
