dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.644822,0.935376,1.930104,0.834904,-0.988299,0.000000,0.356971
0.020000,1.660325,0.941025,1.946604,0.815138,-0.988299,-0.000000,0.341834
0.020000,1.675538,0.946310,1.962709,0.795372,-0.988299,0.000000,0.326836
0.020000,1.690453,0.951243,1.978419,0.775606,-0.988299,0.000000,0.312009
0.020000,1.705062,0.955837,1.993733,0.755840,-0.988299,-0.000000,0.297380
0.020000,1.719357,0.960106,2.008653,0.736074,-0.988299,0.000000,0.282977
0.020000,1.733331,0.964063,2.023176,0.716308,-0.988299,0.000000,0.268826
0.020000,1.746978,0.967721,2.037305,0.696542,-0.988299,0.000000,0.254950
0.020000,1.760290,0.971094,2.051038,0.676776,-0.988299,-0.000000,0.241370
0.020000,1.773262,0.974196,2.064376,0.657010,-0.988299,0.000000,0.228105
0.020000,1.785888,0.977042,2.077318,0.637244,-0.988299,-0.000000,0.215172
0.020000,1.798162,0.979644,2.089866,0.617478,-0.988299,0.000000,0.202587
0.020000,1.810080,0.982016,2.102018,0.597712,-0.988299,-0.000000,0.190363
0.020000,1.821637,0.984172,2.113774,0.577946,-0.988299,0.000000,0.178511
0.020000,1.832829,0.986125,2.125135,0.558180,-0.988299,0.000000,0.167042
0.020000,1.843653,0.987888,2.136101,0.538414,-0.988299,0.000000,0.155963
0.020000,1.854103,0.989475,2.146672,0.518648,-0.988299,-0.000000,0.145282
0.020000,1.864179,0.990896,2.156847,0.498882,-0.988299,0.000000,0.135004
0.020000,1.873876,0.992164,2.166627,0.479116,-0.988299,0.000000,0.125132
0.020000,1.883193,0.993292,2.176012,0.459350,-0.988299,0.000000,0.115671
0.020000,1.892127,0.994289,2.185001,0.439584,-0.988299,-0.000000,0.106622
0.020000,1.900676,0.995166,2.193595,0.419818,-0.988299,0.000000,0.097987
0.020000,1.908838,0.995935,2.201794,0.400052,-0.988299,-0.000000,0.089766
0.020000,1.916613,0.996604,2.209597,0.380286,-0.988299,0.000000,0.081958
0.020000,1.923999,0.997183,2.217005,0.360520,-0.988299,-0.000000,0.074564
0.020000,1.930994,0.997681,2.224018,0.340754,-0.988299,0.000000,0.067581
0.020000,1.937597,0.998106,2.230636,0.320988,-0.988299,-0.000000,0.061009
0.020000,1.943809,0.998466,2.236858,0.301223,-0.988299,0.000000,0.054846
0.020000,1.949628,0.998769,2.242685,0.281457,-0.988299,-0.000000,0.049088
0.020000,1.955053,0.999021,2.248116,0.261691,-0.988299,0.000000,0.043735
0.020000,1.960085,0.999229,2.253152,0.241925,-0.988299,-0.000000,0.038784
0.020000,1.964729,0.999398,2.257799,0.222760,-0.958233,1.503320,0.034226
0.020000,1.968998,0.999536,2.262070,0.204386,-0.918701,1.976598,0.030046
0.020000,1.972909,0.999646,2.265982,0.186803,-0.879169,1.976598,0.026226
0.020000,1.976475,0.999733,2.269551,0.170010,-0.839637,1.976598,0.022749
0.020000,1.979715,0.999802,2.272791,0.154008,-0.800105,1.976598,0.019597
0.020000,1.982643,0.999855,2.275719,0.138796,-0.760573,1.976598,0.016754
0.020000,1.985274,0.999896,2.278350,0.124375,-0.721041,1.976598,0.014202
0.020000,1.987625,0.999926,2.280702,0.110745,-0.681509,1.976598,0.011926
0.020000,1.989711,0.999949,2.282788,0.097906,-0.641977,1.976598,0.009909
0.020000,1.991549,0.999966,2.284626,0.085857,-0.602445,1.976598,0.008135
