dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.616586,0.566989,0.687501,1.127837,0.938975,-1.520720,0.672675
0.020000,0.634464,0.581331,0.710421,1.145979,0.907083,-1.594587,0.679349
0.020000,0.652522,0.596006,0.733690,1.163458,0.873972,-1.655544,0.685353
0.020000,0.670756,0.610997,0.757295,1.180255,0.839813,-1.707991,0.690679
0.020000,0.689163,0.626284,0.781222,1.196349,0.804733,-1.753985,0.695323
0.020000,0.707739,0.641847,0.805457,1.211726,0.768851,-1.794073,0.699278
0.020000,0.726484,0.657666,0.829984,1.226372,0.732274,-1.828873,0.702541
0.020000,0.745394,0.673720,0.854790,1.240274,0.695093,-1.859061,0.705108
0.020000,0.764468,0.689986,0.879858,1.253421,0.657386,-1.885357,0.706977
0.020000,0.783706,0.706442,0.905174,1.265806,0.619215,-1.908520,0.708147
0.020000,0.803107,0.723065,0.930723,1.277418,0.580626,-1.929438,0.708616
0.020000,0.822666,0.739828,0.956482,1.287949,0.526545,-2.704067,0.708384
0.020000,0.842378,0.756701,0.982429,1.297381,0.471580,-2.748267,0.707450
0.020000,0.862242,0.773662,1.008549,1.306003,0.431124,-2.022797,0.705816
0.020000,0.882260,0.790684,1.034825,1.313808,0.390266,-2.042876,0.703485
0.020000,0.902429,0.807742,1.061241,1.320788,0.348967,-2.064966,0.700458
0.020000,0.922750,0.824811,1.087780,1.326931,0.307169,-2.089921,0.696738
0.020000,0.943221,0.841866,1.114424,1.332227,0.264797,-2.118583,0.692329
0.020000,0.963842,0.858879,1.141158,1.336662,0.221762,-2.151765,0.687236
0.020000,0.984610,0.875825,1.167962,1.340222,0.177957,-2.190242,0.681465
0.020000,1.005522,0.892678,1.194820,1.342887,0.133262,-2.234727,0.675023
0.020000,1.026576,0.909410,1.221713,1.344638,0.087545,-2.285849,0.667917
0.020000,1.047766,0.925995,1.248622,1.345451,0.040663,-2.344126,0.660158
0.020000,1.069087,0.942406,1.275528,1.345300,-0.007532,-2.409737,0.651757
0.020000,1.090533,0.958618,1.302411,1.344163,-0.056843,-2.465549,0.642728
0.020000,1.112094,0.974603,1.329251,1.341995,-0.108396,-2.577662,0.633087
0.020000,1.133760,0.990334,1.356026,1.338773,-0.161110,-2.635677,0.622851
0.020000,1.155520,1.005787,1.382715,1.334451,-0.216137,-2.751381,0.612042
0.020000,1.177361,1.020936,1.409295,1.328998,-0.272649,-2.825570,0.600681
0.020000,1.199267,1.035755,1.435742,1.322360,-0.331866,-2.960854,0.588796
0.020000,1.221219,1.050221,1.462032,1.314501,-0.392970,-3.055208,0.576416
0.020000,1.243198,1.064310,1.488140,1.305373,-0.456379,-3.170433,0.563573
0.020000,1.265182,1.078001,1.514038,1.294931,-0.522115,-3.286811,0.550301
0.020000,1.287147,1.091272,1.539701,1.283131,-0.590018,-3.395160,0.536639
0.020000,1.309065,1.104105,1.565100,1.269926,-0.660226,-3.510397,0.522629
0.020000,1.330908,1.116481,1.590205,1.255275,-0.732545,-3.615967,0.508314
0.020000,1.352651,1.128389,1.614995,1.239505,-0.788524,-2.798909,0.493737
0.020000,1.374276,1.139823,1.639457,1.223073,-0.821605,-1.654081,0.478936
0.020000,1.395765,1.150779,1.663578,1.206083,-0.849476,-1.393569,0.463948
0.020000,1.417103,1.161255,1.687349,1.188531,-0.877595,-1.405946,0.448811
